,date_time,action,signal,buy_price,sell_price,pnl,balance
281,2020-02-14 04:00:00,1,Buy,10251.15,10258.66,-0.14,596.433249403608
282,2020-02-14 04:00:00,1,Buy,10258.66,,,596.433249403608
283,2020-02-14 16:00:00,-1,Sell,10258.66,10274.47,0.08,597.3517347234325
284,2020-02-14 16:00:00,-1,Sell,10274.47,,,597.3517347234325
285,2020-02-15 00:00:00,1,Buy,10274.47,10344.36,-0.75,593.2876706044248
286,2020-02-15 00:00:00,1,Buy,10344.36,,,593.2876706044248
287,2020-02-15 15:52:00,1,SL Hit,10344.36,10008.0,-3.32,573.9954686763688
288,2020-02-15 20:00:00,1,Buy,9893.52,,,573.9954686763688
289,2020-02-16 12:00:00,-1,Sell,9893.52,9926.48,0.26,575.9070193866895
290,2020-02-16 12:00:00,-1,Sell,9926.48,,,575.9070193866895
291,2020-02-16 16:00:00,1,Buy,9926.48,9858.54,0.61,579.8480109930929
292,2020-02-16 16:00:00,1,Buy,9858.54,,,579.8480109930929
293,2020-02-16 16:52:00,1,SL Hit,9858.54,9650.0,-2.19,567.5816505390601
294,2020-02-17 00:00:00,-1,Sell,9910.7,,,567.5816505390601
295,2020-02-17 04:00:00,1,Buy,9910.7,9791.42,1.13,574.4120663307094
296,2020-02-17 04:00:00,1,Buy,9791.42,,,574.4120663307094
297,2020-02-17 08:00:00,-1,Sell,9791.42,9744.14,-0.55,571.6376927985643
298,2020-02-17 08:00:00,-1,Sell,9744.14,,,571.6376927985643
299,2020-02-18 00:00:00,1,Buy,9744.14,9706.0,0.32,573.8744669731284
300,2020-02-18 00:00:00,1,Buy,9706.0,,,573.8744669731284
301,2020-02-18 08:00:00,-1,Sell,9706.0,9790.9,0.8,578.8935426011953
302,2020-02-18 08:00:00,-1,Sell,9790.9,,,578.8935426011953
303,2020-02-18 20:00:00,1,Buy,9790.9,10043.08,-2.65,563.9825306203591
304,2020-02-18 20:00:00,1,Buy,10043.08,,,563.9825306203591
305,2020-02-19 08:00:00,-1,Sell,10043.08,10059.08,0.09,564.8803319257281
306,2020-02-19 08:00:00,-1,Sell,10059.08,,,564.8803319257281
307,2020-02-19 16:00:00,1,Buy,10059.08,10149.992535211268,-0.97,559.7743237796203
308,2020-02-19 16:00:00,1,Buy,10149.992535211268,,,559.7743237796203
309,2020-02-19 21:33:00,1,SL Hit,10149.992535211268,9906.45,-2.47,546.3421993242305
310,2020-02-20 04:00:00,-1,Sell,9587.89,,,546.3421993242305
311,2020-02-20 08:00:00,1,Buy,9587.89,9599.0,-0.19,545.7084234509682
312,2020-02-20 08:00:00,1,Buy,9599.0,,,545.7084234509682
313,2020-02-20 16:00:00,-1,Sell,9599.0,9573.26,-0.34,544.2443903100548
314,2020-02-20 16:00:00,-1,Sell,9573.26,,,544.2443903100548
315,2020-02-21 00:00:00,1,Buy,9573.26,9592.0,-0.27,543.1783123850417
316,2020-02-21 00:00:00,1,Buy,9592.0,,,543.1783123850417
317,2020-02-21 12:00:00,-1,Sell,9592.0,9707.78,1.14,549.734032840415
318,2020-02-21 12:00:00,-1,Sell,9707.78,,,549.734032840415
319,2020-02-21 20:00:00,1,Buy,9707.78,9681.84,0.2,551.2022681491962
320,2020-02-21 20:00:00,1,Buy,9681.84,,,551.2022681491962
321,2020-02-22 08:00:00,-1,Sell,9681.84,9590.26,-1.02,545.9877757587928
322,2020-02-22 08:00:00,-1,Sell,9590.26,,,545.9877757587928
323,2020-02-22 12:00:00,1,Buy,9590.26,9635.95,-0.55,543.3858760546743
324,2020-02-22 12:00:00,1,Buy,9635.95,,,543.3858760546743
325,2020-02-22 20:00:00,-1,Sell,9635.95,9679.08,0.38,545.817342352158
326,2020-02-22 20:00:00,-1,Sell,9679.08,,,545.817342352158
327,2020-02-23 04:00:00,1,Buy,9679.08,9786.5,-1.18,539.7590729431369
328,2020-02-23 04:00:00,1,Buy,9786.5,,,539.7590729431369
329,2020-02-23 12:00:00,-1,Sell,9786.5,9833.33,0.41,542.3412082147792
330,2020-02-23 12:00:00,-1,Sell,9833.33,,,542.3412082147792
331,2020-02-23 16:00:00,1,Buy,9833.33,9867.67,-0.42,540.4465417669842
332,2020-02-23 16:00:00,1,Buy,9867.67,,,540.4465417669842
333,2020-02-23 20:00:00,-1,Sell,9867.67,9871.75,-0.03,540.6693009919491
334,2020-02-23 20:00:00,-1,Sell,9871.75,,,540.6693009919491
335,2020-02-24 00:00:00,1,Buy,9871.75,9936.4,-0.72,537.127762710071
336,2020-02-24 00:00:00,1,Buy,9936.4,,,537.127762710071
337,2020-02-24 02:37:00,1,SL Hit,9936.4,9600.0,-3.46,518.9424305117227
338,2020-02-24 08:00:00,-1,Sell,9746.03,,,518.9424305117227
339,2020-02-24 12:00:00,1,Buy,9746.03,9811.98,-0.75,515.430120831448
340,2020-02-24 12:00:00,1,Buy,9811.98,,,515.430120831448
341,2020-02-24 20:00:00,-1,Sell,9811.98,9601.14,-2.22,504.3538492672884
342,2020-02-24 20:00:00,-1,Sell,9601.14,,,504.3538492672884
343,2020-02-25 00:00:00,1,Buy,9601.14,9655.52,-0.64,501.49653408167967
